,Unnamed: 0,2018rank,City,State[c],2018estimate,2010Census,Total Area (sqmi),Location,Website,Zipcode,Description
0,0,1,New York City[d], New York,8398748,8175133,301.5 sq mi,40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ ,https://www.nyc.gov/,"100xx–104xx, 11004–05, 111xx–114xx, 116xx",The City of New York  usually called either New York City  NYC  or simply New York  NY   is the most populous city in the United States [11] With an estimated 2018 population of 8 398 748[7] distributed over a land area of about 302 6 square miles  784 km2  [12][13] New York is also the most densely populated major city in the United States [14] Located at the southern tip of the state of New York  the city is the center of the New York metropolitan area  the largest metropolitan area in the world by urban landmass[15] and one of the world's most populous megacities [16][17] with an estimated 19 979 477 people in its 2018 Metropolitan Statistical Area and 22 679 948 residents in its Combined Statistical Area [4][5] A global power city [18] New York City has been described as the cultural [19][20][21][22][23] financial [24][25] and media capital of the world [26][27] and exerts a significant impact upon commerce [25] entertainment  research  technology  education  politics  tourism  art  fashion  and sports  The city's fast pace[28][29][30] has inspired the term New York minute [31] Home to the headquarters of the United Nations [32] New York is an important center for international diplomacy [33][34]Situated on one of the world's largest natural harbors [35][36] New York City consists of five boroughs  each of which is a separate county of the State of New York [37] The five boroughs – Brooklyn  Queens  Manhattan  The Bronx  and Staten Island – were consolidated into a single city in 1898 [38] The city and its metropolitan area constitute the premier gateway for legal immigration to the United States [39] As many as 800 languages are spoken in New York [40][41][42] making it the most linguistically diverse city in the world [41][43][44] New York City is home to more than 3 2 million residents born outside the United States [45] the largest foreign born population of any city in the world [46]  In 2017  the New York metropolitan area produced a gross metropolitan product  GMP  of US 1 73 trillion [9] If greater New York City were a sovereign state  it would have the 12th highest GDP in the world [47] New York is home to the highest number of billionaires of any city in the world [48]
1,1,2,Los Angeles, California,3990456,3792621,468.7 sq mi,34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ ,https://www.lacity.org/,"
List
90001–90084, 90086–90089, 90091, 90093–90097, 90099, 90101–90103, 90174, 90185, 90189, 90291–90293, 91040–91043, 91303–91308, 91311, 91316, 91324–91328, 91330, 91331, 91335, 91340, 91342–91349, 91352–91353, 91356–91357, 91364–91367, 91401–91499, 91504–91505, 91601–91609[15] 
",Los Angeles   lɔːs ˈændʒələs   listen  [a] Spanish: Los Ángeles  [16] officially the City of Los Angeles and often known by its initials L A   is the most populous city in California  the second most populous city in the United States  after New York City  and the third most populous city in North America  With an estimated population of nearly four million [11] Los Angeles is the cultural  financial  and commercial center of Southern California  The city is known for its Mediterranean climate  ethnic diversity  Hollywood and the entertainment industry  and its sprawling metropolis  Los Angeles is the largest city on the West Coast of North America 
2,2,3,Chicago, Illinois,2705994,2695598,227.3 sq mi,41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ ,http://www.cityofchicago.org,0,Chicago   ʃɪˈkɑːɡoʊ   listen   locally also  ʃɪˈkɔːɡoʊ    officially the City of Chicago  is the most populous city in Illinois  as well as the third most populous city in the United States  With an estimated population of 2 705 994  2018   it is the most populous city in the Midwest  Chicago is the principal city of the Chicago metropolitan area  often referred to as Chicagoland  and the county seat of Cook County  the second most populous county in the United States  The metropolitan area  at nearly 10 million people  is the third largest in the United States 
3,3,4,Houston[3], Texas,2325502,2100263,637.5 sq mi,29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ ,http://www.houstontx.gov/,"770xx, 772xx (P.O. Boxes)",Houston   ˈhjuːstən   listen  HEW stən  is the most populous city in the U S  state of Texas  fourth most populous city in the United States  as well as the sixth most populous in North America  with an estimated 2018 population of 2 328 419 [6] Located in Southeast Texas near Galveston Bay and the Gulf of Mexico  it is the seat of Harris County and the principal city of the Greater Houston metropolitan area  which is the fifth most populous metropolitan statistical area in the United States and the second most populous in Texas after the Dallas Fort Worth metroplex  with a population of 6 997 384 in 2018 [7]Comprising a total area of 637 4 square miles  1 651 km2  [8] Houston is the eighth most expansive city in the United States  including consolidated city counties   It is the largest city in the United States by total area  whose government is similarly not consolidated with that of a county or borough  Though primarily in Harris County  small portions of the city extend into Fort Bend and Montgomery counties  bordering other principal communities of Greater Houston such as Sugar Land and The Woodlands 
4,4,5,Phoenix, Arizona,1660272,1445632,517.6 sq mi,33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ ,http://www.phoenix.gov,85001–85099,Phoenix   ˈfiːnɪks   is the capital and most populous city of Arizona  with 1 660 272 people  as of 2018[update]   It is also the fifth most populous city in the United States  and the most populous American state capital  and the only state capital with a population of more than one million residents [5][6]
5,5,6,Philadelphia[e], Pennsylvania,1584138,1526006,134.2 sq mi,40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ ,http://www.phila.gov/,0,Philadelphia  Ancient Greek: φίλος ἀδελφός   known colloquially as Philly  is the largest city in the U S  state and Commonwealth of Pennsylvania  and the sixth most populous U S  city  with a 2018 census estimated population of 1 584 138 [7] Since 1854  the city has been coterminous with Philadelphia County  the most populous county in Pennsylvania and the urban core of the eighth largest U S  metropolitan statistical area  with over 6 million residents as of 2017[update] [5] Philadelphia is also the economic and cultural anchor of the greater Delaware Valley  located along the lower Delaware and Schuylkill Rivers  within the Northeast megalopolis  The Delaware Valley's population of 7 2 million ranks it as the eighth largest combined statistical area in the United States [6]William Penn  an English Quaker  founded the city in 1682 to serve as capital of the Pennsylvania Colony [10] Philadelphia played an instrumental role in the American Revolution as a meeting place for the Founding Fathers of the United States  who signed the Declaration of Independence in 1776 at the Second Continental Congress  and the Constitution at the Philadelphia Convention of 1787  Several other key events occurred in Philadelphia during the Revolutionary War including the First Continental Congress  the preservation of the Liberty Bell  the Battle of Germantown  and the Siege of Fort Mifflin  Philadelphia remained the nation's largest city until being overtaken by New York City in 1790  the city was also one of the nation's capitals during the revolution  serving as temporary U S  capital while Washington  D C  was under construction  In the 19th century  Philadelphia became a major industrial center and a railroad hub  The city grew from an influx of European immigrants  most of whom came from Ireland  Italy and Germany—the three largest reported ancestry groups in the city as of 2015[update] [11] In the early 20th century  Philadelphia became a prime destination for African Americans during the Great Migration after the Civil War [12] as well as Puerto Ricans [13] The city's population doubled from one million to two million people between 1890 and 1950 
6,6,7,San Antonio, Texas,1532233,1327407,461.0 sq mi,29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ ,http://www.sanantonio.gov/,"78201-66, 78268-70, 78275, 78278-80, 78283-89, 78291-99","San Antonio   ˌsæn ænˈtoʊnioʊ   from Spanish  ""Saint Anthony""   officially the City of San Antonio  is the seventh most populous city in the United States  and the second most populous city in both Texas and the Southern United States  with more than 1 5 million residents [9] Founded as a Spanish mission and colonial outpost in 1718  the city became the first chartered civil settlement in present day Texas in 1731  The area was still part of the Spanish Empire  and later of the Mexican Republic  Today it is the state's oldest municipality [10][11]The city's deep history is contrasted with its rapid recent growth during the past few decades  It was the fastest growing of the top ten largest cities in the United States from 2000 to 2010  and the second from 1990 to 2000 [12][13] Straddling the regional divide between South and Central Texas  San Antonio anchors the southwestern corner of an urban megaregion colloquially known as the ""Texas Triangle"" "
7,7,8,San Diego, California,1425976,1307402,325.2 sq mi,32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ ,http://www.sandiego.gov/,0,"San Diego   ˌsæn diˈeɪɡoʊ   Spanish: [san ˈdjeɣo]  Spanish for ""Saint Didacus""  is a city in the U S  state of California  It is in San Diego County  on the coast of the Pacific Ocean in Southern California  approximately 120 miles  190 km  south of Los Angeles and immediately adjacent to the border with Mexico With an estimated population of 1 419 516 as of July 1  2017 [9] San Diego is the eighth largest city in the United States and second largest in California  It is part of the San Diego–Tijuana conurbation  the second largest transborder agglomeration between the U S  and a bordering country after Detroit–Windsor  with a population of 4 922 723 people [12] The city is known for its mild year round climate  natural deep water harbor  extensive beaches  long association with the United States Navy  and recent emergence as a healthcare and biotechnology development center "
8,8,9,Dallas, Texas,1345047,1197816,340.9 sq mi,32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ ,http://www.dallascityhall.com/,"
ZIP Codes[3]
75201-75212, 75214-75238, 75240-75254, 75258, 75260-75267, 75270, 75275, 75277, 75283-75287, 75301, 75303, 75310, 75312-75313, 75315, 75320, 75323, 75326, 75334, 75336, 75339-75340, 75342-75344, 75354-75360, 75367-75368, 75370-75374, 75376, 75378-75382, 75387, 75389-75394
",Dallas   ˈdæləs    officially the City of Dallas  is a city in the U S  state of Texas and the seat of Dallas County  with portions extending into Collin  Denton  Kaufman and Rockwall counties  With an estimated 2018 population of 1 345 047 [8] it is the ninth most populous city in the U S [9] and third in Texas after Houston and San Antonio [10] It is also the eighteenth most populous city in North America as of 2015  Located in North Texas  the city of Dallas is the main core of the largest metropolitan area in the Southern United States and the largest inland metropolitan area in the U S  that lacks any navigable link to the sea [11] It is the most populous city in the Dallas–Fort Worth metroplex  the fourth largest metropolitan area in the country at 7 5 million people as of 2018 [12] The city's combined statistical area is the seventh largest in the U S  as of 2017  with 7 846 293 residents [13]Dallas and nearby Fort Worth were initially developed due to the construction of major railroad lines through the area allowing access to cotton  cattle and later oil in North and East Texas  The construction of the Interstate Highway System reinforced Dallas's prominence as a transportation hub  with four major interstate highways converging in the city and a fifth interstate loop around it  Dallas then developed as a strong industrial and financial center and a major inland port  due to the convergence of major railroad lines  interstate highways and the construction of Dallas Fort Worth International Airport  one of the largest and busiest airports in the world [14]
9,9,10,San Jose, California,1030119,945942,177.5 sq mi,37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ ,http://www.sanjoseca.gov/,"
List
95002
95008
95101
95103
95106
95108–95113
95115–95141
95148
95150–95161
95164, 95170
95172
95173
95190–9519
 95196[10]

","San Jose[A]   ˌsæn hoʊˈzeɪ   ˈseɪ   Spanish for 'Saint Joseph'  Spanish: [saŋ xoˈse]  [13] officially the City of San José [B] is the economic  cultural and political center of Silicon Valley  and the largest city in Northern California  both by population and area   With an estimated 2017 population of 1 035 317  it is the third most populous city in California  after Los Angeles and San Diego  and the tenth most populous in United States [14] Located in the center of the Santa Clara Valley  on the southern shore of San Francisco Bay  San Jose covers an area of 179 97 square miles  466 1 km2   San Jose is the county seat of Santa Clara County  the most affluent county in California and one of the most affluent counties in the United States [15][16][17][18] San Jose is the most populous city in both the San Francisco Bay Area and the San Jose San Francisco Oakland Combined Statistical Area  which contain 7 7 million and 8 7 million people respectively [19][20][21]San Jose is a global city [22] notable as a center of innovation  for its affluence [23][24][25] Mediterranean climate  and extremely high cost of living [26] San Jose's location within the booming high tech industry  as a cultural  political  and economic center has earned the city the nickname ""Capital of Silicon Valley""  San Jose is one of the wealthiest major cities in the United States and the world  and has the third highest GDP per capita in the world  after Zürich  Switzerland and Oslo  Norway   according to the Brookings Institution [27] The San Jose Metropolitan Area has the most millionaires and the most billionaires in the United States per capita [28] With a median home price of  1 085 000 [29] San Jose has the most expensive housing market in the country and the fifth most expensive housing market in the world  according to the 2017 Demographia International Housing Affordability Survey [30][31][32][33] Major global tech companies including Cisco Systems  eBay  Adobe Systems  PayPal  Broadcom  Samsung  Acer  Hewlett Packard Enterprise  and Western Digital maintain their headquarters in San Jose  in the center of Silicon Valley "
